,title,num_reviews,review_rating,num_languages,tags,num_tags,genres,num_genres,publisher
13050,Puzzle Tower - Underground,,3 user reviews,,"['Strategy', 'Adventure', 'Indie', 'Gore', 'Violent']",5.0,"['Adventure', 'Indie']",2.0,CRGames
13051,Zaccaria Pinball - Zankor Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13052,LET IT DIE -(Special)10 Death Metals- 022,,,10,"['Action', 'Free to Play', 'Gore', 'Violent', 'Nudity', 'Sexual Content']",6.0,"['Action', 'Free to Play', 'GRASSHOPPER MANUFACTURE INC.']",3.0,GungHo Online Entertainment America
13053,Zaccaria Pinball - Future World Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13054,Pixel Puzzles Illustrations & Anime - Jigsaw Pack: Horror,,,,"['Strategy', 'Action', 'Free to Play', 'Indie', 'Casual', 'Simulation', 'Sports']",7.0,"['Action', 'Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports', 'Strategy', 'The Digital Puzzle Company']",8.0,KPL
13055,XP Girls,,Mostly Positive,,"['RPG', 'Indie', 'Adventure', '2D', 'Clicker', 'Anime']",6.0,"['Adventure', 'Indie', 'RPG']",3.0,SakuraGame
13056,Zaccaria Pinball - Circus Table,,1 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13057,Zaccaria Pinball - Nautilus Table,,2 user reviews,,"['Free to Play', 'Casual', 'Simulation', 'Sports']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13058,Magic Siege - Defender,,Mixed,7,"['Indie', 'Casual', 'Strategy', 'Simulation', 'Tower Defense', 'Singleplayer', 'Great Soundtrack', '2D', 'Funny', 'Touch-Friendly', 'Addictive', 'Zombies', 'Survival', 'Turn-Based', 'Classic', 'Comedy', 'Puzzle', 'Cute', 'Family Friendly', 'Difficult']",20.0,"['Casual', 'Indie', 'Simulation', 'Strategy']",4.0,Oriplay
13059,Wheels of Aurelia,141,Mixed,6,"['Indie', 'Adventure', 'Driving', 'Female Protagonist', 'Visual Novel', 'Story Rich', 'Choices Matter', 'Interactive Fiction', 'Great Soundtrack', 'Casual', 'Atmospheric', 'Isometric', 'Text-Based', 'Experimental', 'Nonlinear', 'Mature', 'Drama', 'Romance', 'Narration', 'Replay Value']",20.0,"['Adventure', 'Indie']",2.0,Santa Ragione
13060,Zaccaria Pinball - Pool Champion Table,,1 user reviews,,"['Casual', 'Simulation', 'Sports', 'Free to Play']",4.0,"['Casual', 'Free to Play', 'Simulation', 'Sports']",4.0,Magic Pixel Kft.
13061,Close Your Eyes - Goodie Bag,,Positive,,"['Adventure', 'Indie', 'Gore', 'Sexual Content', 'Arcade', 'Horror', 'Surreal', 'Psychedelic', 'Psychological', 'RPGMaker', 'Atmospheric', 'Dark']",12.0,"['Adventure', 'Indie']",2.0,Yai Gameworks
